,menu,co2
20,갈치구이,1.1438333814338182
21,갈치조림,1.1617231893152997
11,갈치회,2.1390000962009696
25,고기국수,1.1964310222083832
22,고등어구이,0.7971763290903942
23,고등어조림,0.8150661369718757
10,고등어회,1.4456859915141216
14,공기밥,0.018743565561799975
9,광어회,0.9839400440385107
29,김밥,0.07780808031625164
32,김치찌개,0.13800238496663292
30,돈까스,3.7999577217711957
33,된장찌개,0.16492494896853394
12,딱새우회,0.5347500240502424
6,땅콩막걸리,0.07256714342764367
18,라면,0.12191873590792379
5,막걸리,0.048070611272684874
3,맥주(병),0.07095303947389864
2,맥주(캔),0.050376658026468034
26,미역국,0.14034340356655836
37,보말죽,0.15163356652380966
36,보말칼국수,0.20647339798655373
35,비건버거,0.4344738071386862
19,비빔라면,0.09221512690113268
1,사이다,0.07771709073659491
34,샐러드파스타,0.07228011574875773
28,성게미역국,1.2098434519101517
4,소주,0.04320576034371769
24,수육,2.990537003286575
13,연어회,1.6399000738837348
17,오일파스타,0.3961948998866411
38,전복죽,0.22036646500965976
27,칼국수,0.18508339702454402
0,콜라,0.07216586996969528
16,크림파스타,0.2651345206579167
15,토마토파스타,0.24192918378094772
7,한라봉막걸리,0.0473907734413703
8,흑돼지,2.574270336619908
31,흑돼지버거,2.3240425350726146
